"ramo","gruppi_inizio","gruppi_fine","n_parlamentari"
"camera","FRATELLI D'ITALIA (FDI)","FRATELLI D'ITALIA (FDI)",115
"camera","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP)",69
"camera","LEGA - SALVINI PREMIER (LEGA)","LEGA - SALVINI PREMIER (LEGA)",64
"senato","FRATELLI D'ITALIA","FRATELLI D'ITALIA",63
"camera","MOVIMENTO 5 STELLE (M5S)","MOVIMENTO 5 STELLE (M5S)",49
"camera","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE)","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE)",45
"senato","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA",36
"senato","LEGA SALVINI PREMIER - PARTITO SARDO D'AZIONE","LEGA SALVINI PREMIER - PARTITO SARDO D'AZIONE",29
"senato","MOVIMENTO 5 STELLE","MOVIMENTO 5 STELLE",26
"camera","MISTO (MISTO)","ALLEANZA VERDI E SINISTRA (AVS)",10
"camera","MISTO (MISTO)","MISTO (MISTO)",10
"camera","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE)","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE)",9
"camera","MISTO (MISTO)","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP)",9
"senato","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE",7
"camera","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE)","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE)",6
"senato","CIVICI D'ITALIA - NOI MODERATI (UDC - CORAGGIO ITALIA - NOI CON L'ITALIA - ITALIA AL CENTRO) - MAIE","CIVICI D'ITALIA - NOI MODERATI (UDC - CORAGGIO ITALIA - NOI CON L'ITALIA - ITALIA AL CENTRO) - MAIE",6
"senato","MISTO","MISTO",6
"senato","PER LE AUTONOMIE (SVP-PATT, CAMPOBASE, SUD CHIAMA NORD)","PER LE AUTONOMIE (SVP-PATT, CAMPOBASE, SUD CHIAMA NORD)",6
"senato","AZIONE-ITALIAVIVA-RENEWEUROPE","AZIONE-ITALIAVIVA-RENEWEUROPE",4
"camera","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE)","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE)",3
"camera","FRATELLI D'ITALIA (FDI)","MISTO (MISTO)",2
"camera","LEGA - SALVINI PREMIER (LEGA)","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE)",2
"senato","AZIONE-ITALIAVIVA-RENEWEUROPE","CIVICI D'ITALIA-UDC-NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE",2
"senato","AZIONE-ITALIAVIVA-RENEWEUROPE","MISTO",2
"senato","MOVIMENTO 5 STELLE","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE",2
"senato","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ITALIA VIVA - IL CENTRO - RENEW EUROPE",2
"camera","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE)","FRATELLI D'ITALIA (FDI)",1
"camera","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE)","MISTO (MISTO)",1
"camera","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE)","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP)",1
"camera","FRATELLI D'ITALIA (FDI)","LEGA - SALVINI PREMIER (LEGA)",1
"camera","MISTO (MISTO)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP)",1
"camera","MOVIMENTO 5 STELLE (M5S)","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE)",1
"camera","MOVIMENTO 5 STELLE (M5S)","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE)",1
"senato","AZIONE-ITALIAVIVA-RENEWEUROPE","ITALIA VIVA - IL CENTRO - RENEW EUROPE",1
"senato","MISTO","PER LE AUTONOMIE (SVP-PATT, CAMPOBASE)",1
"senato","PER LE AUTONOMIE (SVP-PATT, CAMPOBASE, SUD CHIAMA NORD)","ITALIA VIVA - IL CENTRO - RENEW EUROPE",1
