"","Regione_adattata","tot_export","Macroarea","usa_export","cina_export","usa_pct","cina_pct"
"1","Abruzzo",9485,"Sud",1625.656208,104.904308,17.1392325566684,1.10600219293622
"2","Basilicata",1722,"Sud",116.54506,3.964152,6.76800580720093,0.230206271777003
"3","Calabria",965,"Sud",83.825298,22.044707,8.68655937823834,2.28442559585492
"4","Campania",21661,"Sud",1925.56691,234.931521,8.88955685333087,1.08458298785836
"5","Emilia-Romagna",83633,"Nord-Est",10481.657697,2179.452536,12.5329208530126,2.60597196800306
"6","Friuli-Venezia Giulia",19059,"Nord-Est",2316.00561,243.114742,12.1517687706595,1.27559023033737
"7","Lazio",31559,"Centro",3568.11592,385.751848,11.3061754808454,1.22231961722488
"8","Liguria",8049,"Nord-Ovest",748.522441,157.976977,9.29957064231581,1.96269073176792
"9","Lombardia",163923,"Nord-Ovest",13715.028169,5613.598214,8.36675034558909,3.42453360053196
"10","Marche",14052,"Centro",1248.626092,312.395213,8.8857535724452,2.22313701252491
"11","Molise",1292,"Sud",173.392015,12.398085,13.4204345975232,0.959604102167183
"12","Non specificato",15154,"Non specificato",1819.636802,281.397663,12.0076336412828,1.85692004091329
"13","Piemonte",60529,"Nord-Ovest",5048.706451,1830.764135,8.34097118901684,3.02460661005468
"14","Puglia",9784,"Sud",928.704902,129.948681,9.49207790269828,1.32817539860998
"15","Sardegna",6747,"Isole",466.886122,25.780829,6.91990695123759,0.382108033199941
"16","Sicilia",13175,"Isole",995.480584,128.897057,7.55582985958254,0.978345783681214
"17","Toscana",63078,"Centro",10233.741289,1817.280795,16.223947000539,2.88100573099971
"18","Trentino-Alto Adige",25516,"Nord-Est",1194.538165,170.308515,4.68152596410096,0.667457732403198
"19","Umbria",5905,"Centro",733.860927,169.733989,12.4277887722269,2.87441132938188
"20","Valle d'Aosta",829,"Nord-Ovest",61.96487,31.514052,7.47465259348613,3.80145379975874
"21","Veneto",80151,"Nord-Est",7272.9853,1469.723252,9.07410425322204,1.83369296952003
