"","obsTime","1","2","tot"
"1","2002",177553,158908,336461
"2","2003",171519,154337,325856
"3","2004",175169,160474,335643
"4","2005",173173,157796,330969
"5","2006",177940,160128,338068
"6","2007",174620,159195,333815
"7","2008",176519,164635,341154
"8","2009",164574,158441,323015
"9","2010",165642,161616,327258
"10","2011",167490,160376,327866
"11","2012",194314,186937,381251
"12","2013",170625,164064,334689
"13","2014",162527,157094,319621
"14","2015",159213,154075,313288
"15","2016",164900,159797,324697
"16","2017",164306,158561,322867
"17","2018",170451,161737,332188
"18","2019",199429,179686,379115
"19","2020",172674,156481,329155
"20","2021",180790,163508,344298
"21","2022",191029,177552,368581
"22","2023",188699,171988,360687
"23","2024",186027,166918,352945
