"REGIONE","n_alunni_totale","n_alunni_religione","no_religione","rate"
"VALLE D' AOSTA",16243,11283,4960,30.5362309918119
"TOSCANA",472384,336979,135405,28.6641799891614
"EMILIA ROMAGNA",596552,429327,167225,28.0319234534458
"LIGURIA",177509,129313,48196,27.1512993707361
"PIEMONTE",538005,402365,135640,25.211661601658
"FRIULI-VENEZIA G.",147024,111230,35794,24.3456850582218
"LOMBARDIA",1327295,1011012,316283,23.8291412233151
"VENETO",640999,515919,125080,19.5132909723728
"LAZIO",761593,641161,120432,15.8131705517251
"MARCHE",200641,169468,31173,15.5367048609207
"UMBRIA",112241,95773,16468,14.6720004276512
"SARDEGNA",185304,162225,23079,12.4546690843155
"ABRUZZO",167158,150858,16300,9.7512533052561
"CAMPANIA",872115,806611,65504,7.51093605774468
"SICILIA",677440,635035,42405,6.25959494567785
"CALABRIA",257953,242025,15928,6.17476827173943
"PUGLIA",532315,501759,30556,5.74021021387712
"MOLISE",35084,33195,1889,5.3842207273971
"BASILICATA",69496,66777,2719,3.91245539311615
