"obsTime","Nord-Ovest","Nord-Est","Centro","Sud","Isole"
"2001",18.6,18.2,18.9,10.4,12.8
"2002",20.2,19.7,17,10.3,11.1
"2003",17.2,17.9,19.2,9.8,11
"2005",19.5,19.6,18.2,10.3,12.7
"2006",19.1,21.9,20.1,10.4,14.8
"2007",20.9,21.5,22.9,10.8,14.3
"2008",23.2,22.4,22.4,12.4,13.9
"2009",22.2,23.7,22.7,11.5,13.9
"2010",21.5,24.2,24.5,11.1,12.6
"2011",24.2,22.8,23.3,13.1,14.4
"2012",23.8,24.9,25.7,13.8,15.1
"2013",23.5,27.4,23.7,14.1,16.3
"2014",24.3,25.6,24.1,12.8,14.9
"2015",24.8,24.8,26.3,12.9,16.3
"2016",26.9,26.5,26.1,14.6,16.8
"2017",28.1,27.8,28.6,15.1,19.2
"2018",29.7,27.6,29.6,16.2,25
"2019",30.9,31.7,31.4,17.9,20.6
"2020",33.3,33.7,33.7,18.9,23.1
"2021",36.2,37.5,38.6,22.1,25
"2022",36,35.7,36.1,20.5,23.4
"2023",37.6,37.1,36,19.5,23.2
