"settore_mappato","lunedì","martedì","mercoledì","giovedì","venerdì","sabato","domenica"
"Circolazione e sicurezza stradale",22.0338983050847,3.38983050847458,5.08474576271187,8.47457627118644,32.2033898305085,10.1694915254237,18.6440677966102
"Energia e utilities",32.3529411764706,11.7647058823529,10.2941176470588,8.82352941176471,33.8235294117647,2.94117647058824,NA
"Industria",22,12,26,10,28,2,NA
"Istruzione e ricerca",20.2020202020202,3.03030303030303,12.1212121212121,12.1212121212121,50.5050505050505,2.02020202020202,NA
"Plurisettoriale",8.67052023121387,11.5606936416185,11.5606936416185,10.4046242774566,49.1329479768786,8.09248554913295,0.578034682080925
"Professioni",36.2068965517241,14.9425287356322,18.3908045977011,21.264367816092,8.62068965517241,0.574712643678161,NA
"Pubblica amministrazione",22.9591836734694,16.8367346938775,9.94897959183673,11.2244897959184,21.6836734693878,7.90816326530612,9.43877551020408
"Sanità",24.1258741258741,16.7832167832168,16.4335664335664,15.3846153846154,22.027972027972,4.54545454545455,0.699300699300699
"Servizi",28.9517470881864,21.1314475873544,9.98336106489185,11.8136439267887,21.7970049916805,3.49417637271215,2.82861896838602
"Trasporti",19.6792103639729,11.1042566317088,8.01974090067859,8.63664404688464,32.2640345465762,10.2405922270204,10.0555212831585
