"admin","variazione_media","2025","1991-2020","n_tile"
"Sweden",3.24213678760644,18.0213050490513,14.7791682614449,8198
"Bulgaria",3.1239391854476,24.9594812003289,21.8355420148813,1452
"Norway",3.09147166637445,15.104727851701,12.0132561853266,6888
"Finland",3.01766427696226,18.8351509874692,15.817486710507,6568
"Kosovo",2.57992793651925,22.3949732976871,19.8150453611679,208
"North Macedonia",2.5438845186376,23.8211484054866,21.277263886849,385
"Greece",2.48590732820036,26.3444684239093,23.8585610957089,1490
"Iceland",2.24404029926281,10.4789801901084,8.23493989084559,2036
"Albania",2.18315343945578,23.6250986361092,21.4419451966535,408
"Republic of Serbia",1.99433986278933,23.4016631709628,21.4073233081735,1148
"Romania",1.90810959025104,22.8227696943815,20.9146601041304,3097
"Montenegro",1.88898230053904,20.3161582219291,18.42717592139,229
"Moldova",1.85816672544673,24.4110623783926,22.5528956529459,589
"Ukraine",1.71148437475156,23.0928660267913,21.3813816520397,7509
"Monaco",1.67005131765933,23.2260494109123,21.555998093253,5
"United Kingdom",1.57520233155022,16.566647773829,14.9914454422788,3480
"Estonia",1.51202603213019,19.5643019856598,18.0522759535296,717
"Bosnia and Herzegovina",1.49892160078017,21.5257300783021,20.0268084775219,781
"Portugal",1.49735569782328,24.1311891591768,22.6338334613535,1152
"Vatican",1.47848952645469,26.2793286723476,24.8008391458929,6
"Denmark",1.44627215334048,18.4135983269137,16.9673261735732,640
"Ireland",1.26942159240243,16.2305403014122,14.9611187090098,848
"Gibraltar",1.00931796822497,24.7693479476437,23.7600299794187,5
"Latvia",0.972101824447257,19.2291894226496,18.2570875982024,1113
"Spain",0.953543424489623,23.712045397227,22.7585019727374,5590
"Croatia",0.921802914507576,22.7848705472953,21.8630676327877,870
"Italy",0.845122415554386,22.1625085710216,21.3173861554672,3678
"France",0.790231869872182,20.0127433549793,19.2225114851071,6917
"Hungary",0.750459698446436,22.9340501714904,22.183590473044,1377
"Belarus",0.731927754703921,19.9407910910562,19.2088633363522,3092
"Belgium",0.719948184240144,18.7244331125409,18.0044849283008,554
"Netherlands",0.706855312080155,18.8957112290708,18.1888559169906,660
"Lithuania",0.58052909619693,19.0950218825899,18.514492786393,1116
"Slovenia",0.510086201318626,20.3287308833975,19.8186446820788,368
"San Marino",0.468323696154054,23.8248184274419,23.3564947312878,14
"Slovakia",0.403238106551858,19.4454263875959,19.0421882810441,812
"Luxembourg",0.318993370935708,18.0185443222401,17.6995509513044,79
"Germany",0.276739932248646,18.6370112336806,18.3602713014319,5084
"Poland",0.15658534756438,19.1481127668645,18.9915274193001,4500
"Andorra",0.110384445463884,14.8954048648958,14.7850204194319,24
"Czechia",0.062126144791152,18.3602183349641,18.2980921901729,1265
"Switzerland",-0.0215057694713266,14.7215989416456,14.7431047111169,709
"Austria",-0.0815532389829873,16.2871275442181,16.3686807832011,1336
"Liechtenstein",-0.403794627856183,14.0017638503864,14.4055584782426,15
